Timestamp,Tell us about your experience working with us [TSG makes a positive contribution to my work],Tell us about your experience working with us [TSG responds to my requests in a timely manner],Tell us about your experience working with us [TSG takes accountability for my requests],Tell us about your experience working with us [TSG staff are knowledgable ],Please rate your satisfaction with our services: [Account manager support],Please rate your satisfaction with our services: [Audio and Video Production Services],"Please rate your satisfaction with our services: [Business applications support (M-files, Salesforce, Enterprise, etc.)]",Please rate your satisfaction with our services: [Event services],Please rate your satisfaction with our services: [Project support],Please rate your satisfaction with our services: [Service Desk],Please rate your satisfaction with our services: [Studio services],Please rate your satisfaction with our services: [Vendor management services],Is there anything else you would like to share?,
1/10/2019 17:24:16,Always,Always,Always,Mostly,N/A do not use,N/A do not use,Very Dissatisfied,N/A do not use,Very Satisfied,Very Satisfied,N/A do not use,N/A do not use,"As for the service desk - Sean Austin is an absolute shining star. Sean is so quick to respond, so patient and very willing to persist until he finds a solution. He continues to be a highlight for us in working with TSG. Lisa Darling is also always very willing to help and very gracious.
 Enterprise continues to be a challenge. It looks like a program that hasn't been updated since 1999, and often runs like one. I continue (again and again) to have problems accessing it, and generally find it slow and unhelpful. It seems as though there are enough departments and employees who utilize this program on a regular basis that the situation warrants improvement. The time to change from this program was over a decade ago. It is hard for me to understand why we are using such an out-of-date system and why we are paying someone a full-time salary with benefits to support this program. Their time (and the organization's money) would be better served if they were tasked with finding a new program and a way to transfer the data securely, ASAP. Could this not happen by the end of 2019? Overall, TSG does such a wonderful job supporting this organization, and Enterprise feels like an outlying low point. It would help so many to have a functional program. Thank you!",Winter 2019
1/10/2019 21:05:40,Mostly,Mostly,Mostly,Mostly,N/A do not use,N/A do not use,Satisfied,N/A do not use,N/A do not use,Satisfied,N/A do not use,N/A do not use,,Winter 2019
1/11/2019 0:43:12,Always,Always,Always,Always,N/A do not use,Very Satisfied,N/A do not use,N/A do not use,N/A do not use,N/A do not use,N/A do not use,N/A do not use,,Winter 2019
1/11/2019 4:00:21,Always,Mostly,Always,Always,N/A do not use,N/A do not use,N/A do not use,N/A do not use,N/A do not use,Very Satisfied,N/A do not use,N/A do not use,,Winter 2019
1/11/2019 7:26:47,Always,Always,Always,Always,N/A do not use,N/A do not use,Very Satisfied,N/A do not use,N/A do not use,N/A do not use,N/A do not use,N/A do not use,"It would be nice to know if the TSG team are available to help with individual computer problems. Often the answer can be found via a Google search but this is not always the case. Up until now I have felt that I should not raise these sorts of queries as the team have more important calls on their time. As a very modest example, I have an issue at present with my iPad not syncing to my MacBook Pro so that JSH articles which I have saved in iBooks on my iPad are not appearing in iBooks in my Mac. My feeling is that this is something I must resolve without 'bothering' the TSG team. 
On a different note it might be helpful to know projected time responses for dealing with an issue.",Winter 2019
1/11/2019 7:52:37,Always,Always,Always,Always,N/A do not use,N/A do not use,N/A do not use,Very Satisfied,N/A do not use,Very Satisfied,N/A do not use,N/A do not use,"My interactions with the TSG help desk are always pleasant and helpful. 
Tech support for meetings and presentations is always helpful as well.
Thanks for what you do for our organization!",Winter 2019
1/11/2019 7:54:55,Always,Always,Always,Always,N/A do not use,Very Satisfied,Very Satisfied,N/A do not use,N/A do not use,Very Satisfied,N/A do not use,Very Satisfied,"TSG is always very responsive, knowledgeable and professional in addressing whatever issue I've had. ",Winter 2019
1/11/2019 8:33:46,Always,Always,Always,Always,N/A do not use,Very Satisfied,Very Satisfied,Very Satisfied,N/A do not use,Very Satisfied,Very Satisfied,N/A do not use,,Winter 2019
1/11/2019 8:36:12,Mostly,Always,Always,Mostly,N/A do not use,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Satisfied,Very Satisfied,N/A do not use,"All the TSG services are very good, in fact, excellent. Only once did I think that the help desk wasn't very efficient.",Winter 2019
1/11/2019 8:49:07,Always,Always,Always,Always,N/A do not use,N/A do not use,N/A do not use,N/A do not use,N/A do not use,Very Satisfied,N/A do not use,N/A do not use,,Winter 2019
